模块,课程目标,老师讲法,Codex演示,学员任务,验收标准,交付模板,人工确认边界
M0 课程导入,建立课程工作台和脱敏规则,先展示混乱资料再展示标准目录,生成目录结构和字段表,搭建自己的课程工作台,提交目录和脱敏说明,工作台目录模板,客户价格成本合同不得公开
M1 客户画像,从应用场景拆客户,对比工地营地矿业营地经销商和项目客户,输出客户类型痛点和资格字段,拆出3类目标客户,客户类型能连接询盘报价跟进,客户画像表,当地规范许可由人工确认
M2 线索库,把客户信息变成可跟进资产,说明线索库不是通讯录,生成分级和下一步动作,整理20条客户线索,线索能排序并有跟进动作,客户线索库,客户隐私数据需脱敏
M3 开发信,按客户场景生成真实开发信,对比通用邮件和定制邮件,生成首封邮件和跟进序列,为3类客户写开发信,邮件有场景产品事实和边界,开发信序列,不得虚构案例认证和交付能力
M4 询盘识别,先拆需求再回复,先问为什么不能直接报价,输出已知需求缺失字段风险和回复,拆解自己的询盘,说明哪些信息不足以报价,询盘识别表,不得虚构价格库存认证
M5 产品资料,把产品资料结构化,展示参数选配FAQ如何复用,生成英文参数表FAQ和页面结构,补齐产品参数表,参数来自真实资料并可复用,产品参数表,防火抗风认证等需真实证明
M6 报价测算,建立报价费用项和确认意识,说明课堂数字只演示结构,生成FOB和CIF结构及DDP风险,完成一份报价结构,费用项完整且边界清楚,报价测算表,成本运费汇率装柜需人工确认
M7 订单主数据,把报价转成订单主数据,展示字段在PI CI PL中复用,提取订单字段和条款检查项,建立订单主数据,字段能被跟单和单证继续引用,订单主数据表,合同条款由负责人或法务确认
M8 跟单看板,让订单节点可维护,用延误案例区分内部和对外沟通,生成节点看板和客户进度邮件,建立3个订单看板,节点有负责人状态和下一步,订单跟进看板,真实交期需供应链确认
M9 单证检查,检查订单主数据一致性,展示PI CI PL冲突,输出冲突字段和修改说明,设计3个冲突检查规则,能发现数量金额品名港口冲突,单证一致性检查表,HS编码和申报由专业人员确认
M10 风险边界,识别付款信用合规风险,用高风险付款和DDP说明边界,生成风险矩阵和审批清单,写付款风险清单,风险分级和确认人清楚,付款风险矩阵,银行法务信保合规判断需人工确认
M11 售后复购,把售后纳入客户生命周期,说明出货不是跟进结束,生成安装清单反馈表和复购提醒,设计售后回访流程,售后有分类责任人和复购触发,售后记录表,投诉和安装责任由负责人确认
