Offer Track,Cadence,Week,Modules,Classroom Focus,Homework,Evidence,Owner,Page Route,Manual Boundary,Next Action
个人系统实战课,6 周系统交付,W0,M0,"工作台、产品资料、脱敏规则","产品资料表和资料缺口","基础资料包","班主任 + 助教","learning.html; resources.html","客户、价格、成本、合同资料需脱敏","布置课前资料"
个人系统实战课,6 周系统交付,W1,M1-M3,"客户画像、线索库、开发信","客户画像、线索库、跟进序列","客户开发包","主讲老师 + 助教","course.html; prompts.html","不能虚构客户背景、合作案例、认证和成交概率","进入助教验收"
个人系统实战课,6 周系统交付,W2,M4-M5,"询盘识别、报价前补问、产品参数","询盘识别表和产品 FAQ","询盘资料包","主讲老师 + 助教","case-integrated-house.html; tools.html","价格、认证、库存、交期、DDP 和清关必须人工确认","进入助教验收"
个人系统实战课,6 周系统交付,W3,M6-M8,"FOB/CIF、PI、订单看板","报价结构和订单主数据","报价订单包","主讲老师 + 助教","course.html; tools.html","最终价格、汇率、运费、利润、合同条款必须人工确认","沉淀工具 Sprint"
个人系统实战课,6 周系统交付,W4,M9-M10,"单证一致性、付款、DDP、合规","单证检查规则和付款风险矩阵","风险控制包","主讲老师 + 助教","tools.html; playbook.html","HS Code、报关、银行、清关、税务、法务必须专业复核","进入助教验收"
个人系统实战课,6 周系统交付,W5,M11,"安装资料、售后回访、结课展示","结课工具包和展示授权判断","最终作品集","班主任 + 助教","learning.html; cases.html","公开展示前必须脱敏并确认授权范围","确认报名承诺"
企业团队内训,企业 3 阶段内训,S1,诊断,"访谈、资料清单、流程痛点和权限确认","企业提交脱敏产品、询盘、报价或订单样例","诊断 Brief","企业服务负责人","enterprise.html; playbook.html","企业资料不得进入公开课或招生页","转企业诊断"
企业团队内训,企业 3 阶段内训,S2,M0-M6,"替换企业产品，跑客户、询盘和报价","岗位作业初稿","企业样板课输出","主讲老师 + 企业项目负责人","classroom.html; course.html","企业价格、审批、合同和客户承诺必须内部确认","进入助教验收"
企业团队内训,企业 3 阶段内训,S3,M7-M10,"业务、跟单、单证、主管分别验收输出","岗位 SOP 和返修任务","内训验收表","企业负责人 + 助教","learning.html; tools.html","岗位责任和验收标准由企业负责人确认","沉淀工具 Sprint"
企业团队内训,企业 3 阶段内训,S4,复盘,"沉淀工具字段、SOP 更新和后续版本范围","确认下一阶段范围","企业交付复盘","企业服务负责人 + 产品负责人","enterprise.html; playbook.html","不承诺替代 ERP、CRM、财务、报关或法务系统","转企业诊断"
