category,field,integrated_house_example,new_case_required,owner,required,privacy_note
案例定位,行业,集成房屋/项目型建材,填写具体行业和产品线,行业顾问,是,不涉及隐私
案例定位,主推产品,20ft 可扩展集成房屋,填写型号/规格/主要卖点,产品负责人,是,可用公开资料
案例定位,目标客户,沙特建筑承包商,填写客户类型和采购角色,业务负责人,是,客户名称可脱敏
业务输入,原始询盘,80 套工地营地 CIF Jeddah 询盘,提供一条真实或脱敏询盘,业务负责人,是,删除客户姓名和联系方式
业务输入,产品参数,卫浴/电气/保温/装柜数量,提供规格/材质/配置/认证/包装,产品负责人,是,成本和供应商可脱敏
业务输入,报价字段,成本/选配/国内费用/海运/保险/利润,提供报价费用项和贸易术语,业务或财务,是,利润成本可替换为区间或样例
订单链路,订单节点,图纸/采购/生产/质检/订舱/装柜,提供计划节点和负责人,跟单负责人,建议,订单号可替换
订单链路,单证样例,PI/CI/PL/订舱资料字段冲突,提供单证字段或冲突样例,单证负责人,建议,收货人信息需脱敏
工具输出,可生成工具,询盘表/报价清单/订单看板/单证检查表,列出至少 3 个工具输出,产品负责人,是,不包含敏感客户数据
课程映射,课程模块,产品资料/客户开发/询盘/报价/订单/单证/风险,填写可进入哪些课程模块,课程负责人,是,不涉及隐私
资源转化,免费资料,案例字段包/试听课/模板下载,判断能否拆成资源包,市场运营,建议,不公开敏感信息
人工边界,风险确认,DDP/HS Code/认证/清关/建筑许可,列出行业特有风险和确认人,课程负责人,是,避免自动承诺
上线检查,完成标准,可上课/可下载/可工具化/可复盘,确认是否达到完整案例标准,运营负责人,是,记录维护日志
