check_area,item,evidence,pass_standard,owner,required
数据文件,JS 语法检查,node --check assets/app.js,app.js 无语法错误,开发负责人,是
数据文件,data 语法检查,"for f in data/*.js; do node --check \"$f\" || exit 1; done",所有数据文件无语法错误,开发负责人,是
导航与页面,页面访问检查,本地 HTTP 检查 14 个 HTML 页面,全部返回 200,开发负责人,是
缓存版本,版本字符串检查,rg 旧版本号,无旧缓存版本残留,开发负责人,是
下载资产,下载链接检查,本地 HTTP 检查新增 downloads 文件,全部返回 200,课程运营,是
渲染挂载,轻量 DOM 渲染检查,新增模块 id 能生成内容,目标页面出现新增标题和下载链接,开发负责人,是
业务场景,内容审查,页面说明真实外贸动作,不是泛泛 AI 功能介绍,课程负责人,是
工具输出,交付物审查,页面列出工具/表格/清单/指令/下载物,学员或企业能拿走复用,课程负责人,是
人工边界,风险口径审查,页面说明价格/交期/付款/认证/合规边界,无自动成交或自动报价承诺,运营负责人,是
转化动作,CTA 审查,页面有下一步入口,能回到报名/资源/企业服务/课堂路径,市场运营,建议
移动端,响应式检查,浏览器或替代渲染检查,无明显横向溢出和文字遮挡,开发负责人,建议
维护记录,日志登记,content-maintenance-log.csv,记录改动范围/验证/负责人/下次动作,运营负责人,是
