"模块","业务阶段","集成房屋演示场景","关联工具","关联指令","下载资产","学员作业证据","招生证据讲法","企业服务延伸","Codex可做事项","人工确认事项","页面路线","下一步动作"
"M0","基础工作台","用20ft可扩展集成房屋建立产品资料、课程目录、脱敏规则和人工确认字段","产品资料成熟度检查;资料脱敏清单;工作台目录模板","产品资料整理指令;资料脱敏检查指令","integrated-house-toolkit.csv;product-profile-homework-template.md;learner-preclass-sanitization-template.md","产品资料表、目录截图、脱敏说明、不可公开字段清单","证明课程从第一节开始交付业务资产，而不是只教聊天提示词","企业资料目录规范、权限边界和团队数据治理培训","生成目录结构;整理产品字段;标记敏感信息;输出待补资料","真实资料来源;客户和价格脱敏;认证和交期确认人","course.html;learning.html;resources.html","布置作业"
"M1","客户画像","围绕沙特建筑承包商、矿业营地、经销商、政府项目和度假营地拆分集成房屋客户画像","客户画像字段库;目标市场初筛表;客户资格判断表","客户画像生成指令;市场机会初筛指令","lead-field-library.csv;integrated-house-prompt-pack.md","3类目标客户画像、采购动机、报价前问题和客户资格字段","回应不知道找什么客户的顾虑，展示从产品到客户画像的路径","企业目标客户统一、销售分工和新人训练","拆分客户类型;提炼客户痛点;生成资格字段;输出报价前问题","市场真实性;当地规范;客户触达合规","course.html;tools.html;prompts.html","更新资源包"
"M2","客户线索库","把沙特承包商、智利矿业公司、肯尼亚经销商等线索整理成A/B/C分级和下次动作","客户线索分级;跟进计划生成器;客户库字段模板","线索分级指令;跟进动作生成指令","lead-field-library.csv;lead-followup-homework-template.md","至少20条线索、来源、国家、客户类型、状态、优先级和下一步动作","证明课程能把零散客户信息转成可持续开发的资产","团队线索库字段、分配规则和跟进SOP","设计线索字段;生成客户优先级;输出跟进理由;生成下一步动作","客户真实性;数据来源;隐私和触达合规","course.html;tools.html;learning.html","布置作业"
"M3","开发信序列","为沙特建筑承包商、矿业营地采购商和经销商分别生成不同切入角度的英文开发信","开发信生成器;跟进序列模板;邮件真实性检查","开发信指令;三轮跟进指令;邮件边界检查指令","integrated-house-prompt-pack.md;prompt-quality-checklist.csv","3类客户开发信、3轮跟进、真实性检查清单和不可承诺字段","证明AI不是批量套话，而是围绕客户场景和产品事实生成内容","团队开发信话术库、审核规则和新人训练包","生成首封邮件;生成跟进序列;检查空泛表达;输出真实性检查","不能虚构案例;不能虚构认证;遵守邮件发送规则","course.html;prompts.html;marketing.html","生成咨询证据"
"M4","询盘识别","沙特客户询问80套工地营地用集成房屋，要求CIF Jeddah、卫浴、电气和保温配置","询盘识别课堂演示器;报价前补问清单;英文回复草稿生成","询盘拆解指令;报价前问题指令;英文回复边界检查","demo-lesson-inquiry-analysis.md;inquiry-analysis-homework-template.md","询盘识别表、已知需求、缺失字段、报价前问题、回复草稿和风险点","最适合公开课展示，能快速证明课程会减少读询盘和漏问的重复劳动","企业询盘分流SOP、报价前资料清单和客服/业务协作规则","提取已知需求;列缺失字段;生成补问问题;生成英文回复","价格;库存;认证;交期;DDP和清关","course.html;case-integrated-house.html;tools.html","布置作业"
"M5","产品资料优化","基于20ft可扩展集成房屋生成英文参数表、应用场景、可选配置、FAQ和素材清单","产品资料工作台;英文参数表生成;FAQ和素材清单","产品页面结构指令;FAQ生成指令;素材清单指令","integrated-house-toolkit.csv;product-profile-homework-template.md","英文参数表、产品详情页结构、FAQ、客户常问问题和可选配置字段","回应复杂产品能不能用的顾虑，展示复杂产品也能结构化","企业产品主数据、B2B页面标准和资料维护SOP","生成英文规格表;整理应用场景;生成FAQ;输出素材拍摄清单","参数来源;认证文件;抗风防火;交付能力","course.html;case-integrated-house.html;resources.html","更新资源包"
"M6","报价结构","为80套集成房屋建立CIF Jeddah报价结构，FOB/CIF可计算，DDP只做风险讨论","FOB/CIF报价测算器;DDP风险提醒;报价邮件生成","报价费用项检查指令;报价邮件指令;DDP边界指令","quotation-cost-checklist.csv;quotation-calculation-homework-template.md","FOB/CIF报价费用项、漏项提醒、报价邮件草稿和人工确认点","回应AI能不能帮我报价的顾虑，讲清能整理结构但不能替代最终报价","企业报价费用项SOP、审批流程和报价工具原型","拆费用项;检查漏项;生成报价结构;输出DDP风险","成本;利润;装柜;汇率;海运;有效期","course.html;tools.html;automation.html","进入工具Sprint"
"M7","订单主数据","将沙特80套项目报价结果转成PI字段和订单主数据，记录图纸版本、配置和客户确认日期","订单主数据表;PI字段清单;合同条款检查","订单字段提取指令;PI检查指令;合同条款检查指令","order-tracking-homework-template.md;course-delivery-blueprint.csv","PI字段、订单主数据、图纸版本、配置确认和关键条款人工确认人","证明课程能把报价后的订单执行也纳入工作台","企业订单主数据规范、岗位责任和单证协作SOP","提取订单字段;生成PI字段清单;整理主数据;列合同检查项","合同条款;保修;安装;违约责任;客户确认","course.html;tools.html;learning.html","布置作业"
"M8","跟单看板","为80套集成房屋订单建立图纸、采购、生产、质检、订舱、装柜和出运节点看板","订单跟进看板;异常记录表;客户进度邮件","节点看板生成指令;延期说明指令;内部催办指令","order-tracking-homework-template.md;classroom-delivery-desk.csv","订单节点、计划日期、负责人、状态、异常记录和客户更新邮件","证明课程能减少订单跟进混乱，适合成熟业务员和主管关注","团队跟单看板、异常升级机制和客户沟通SOP","生成节点看板;标记逾期;生成内部催办;生成客户说明","真实交期;生产计划;尾款;发货承诺","course.html;tools.html;enterprise.html","转企业内训"
"M9","单证一致性","构造PI数量80、CI数量78、PL毛重与订舱不一致等冲突，演示单证检查","单证一致性检查器;CI/PL字段表;冲突修正说明","单证冲突检查指令;修改说明指令;风险等级判断指令","document-consistency-check.csv;document-consistency-homework-template.md","CI/PL关键字段、冲突检查规则、风险等级和修正说明","证明Codex能辅助检查重复字段和一致性风险，但不替代专业单证判断","企业单证复核SOP、出货前检查表和工具化规则","比对PI/CI/PL;输出冲突字段;生成风险等级;生成修改说明","HS编码;银行要求;清关要求;申报责任","course.html;tools.html;automation.html","进入工具Sprint"
