category,item,example,owner,required,privacy_note
企业基本信息,主营产品,20ft 可扩展集成房屋,企业负责人,是,可提供公开产品介绍
企业基本信息,目标市场,沙特/阿联酋/澳洲,业务负责人,是,不需要客户隐私
企业基本信息,团队分工,业务/跟单/单证/主管,企业负责人,是,只需岗位不需个人隐私
产品资料,产品参数,尺寸/材质/配置/认证,产品或技术负责人,是,可脱敏成本和供应商
产品资料,包装信息,件数/毛重/体积/装柜数量,跟单或业务,建议,可使用样例数据
客户开发,目标客户画像,承包商/经销商/进口商,业务负责人,建议,不需真实客户名称
客户开发,客户跟进表,公司/国家/角色/状态,业务负责人,建议,客户名称可替换
询盘处理,典型询盘样例,英文邮件或 WhatsApp 询问,业务负责人,是,删除客户姓名和联系方式
询盘处理,常见缺失问题,数量/目的港/认证/交期,业务负责人,建议,可用历史问题汇总
报价测算,报价表或成本表,FOB/CIF/DDP 费用项,业务或财务,是,成本利润可脱敏
报价测算,物流报价样例,海运/保险/目的港费用,物流负责人,建议,供应商名称可删除
订单跟进,订单节点表,定金/生产/验货/尾款/发货,跟单负责人,建议,订单号和客户名可替换
单证检查,PI/CI/PL 样例,收货人/品名/数量/金额/箱单,单证负责人,建议,客户隐私需删除
风险边界,审批规则,价格/交期/合同由谁确认,企业负责人,是,只需岗位和流程
风险边界,敏感资料范围,不能进入课堂或工具的字段,企业负责人,是,提前列出禁止上传内容
